delta,theta,lowalpha,highalpha,lowbeta,highbeta,lowgamma,midgamma,state,answer
5469-97607-10611-41137-79932-13117-54806-13635,21238-2936-19529-53704-63390-7792-13259-19419,12084-964-11970-20544-696-4743-15172-8702,27676-4499-16720-17517-2853-4956-4463-8180,6125-2453-6188-9813-5718-12355-1480-13742,23426-4538-11146-14121-5551-11447-2180-17387,4914-1566-4711-6557-1512-2130-1344-7085,4563-1553-5012-4774-523-4099-882-4436,difficult,no
6131-603348-2836527-674718-13236-52477-40200-25921,28169-157953-48606-20054-7037-18784-42043-14442,33116-53860-44494-15762-1892-734-3406-5916,27568-52823-242136-82230-2367-23972-21064-12611,23739-20645-13608-26371-1998-11811-51199-7565,17010-18113-11964-17673-2061-17152-16720-11757,12312-10891-17265-8464-1057-4534-4671-5933,6526-2971-7143-6075-974-3232-1796-7576,easy,no
57438-63464-3000-3205-37670-18266-7473-7473,26870-27107-6249-9277-18765-26241-5896-5896,21516-3909-6023-11000-9901-41562-18507-18507,16849-3997-14584-22704-7256-16383-19104-19104,4787-10826-35650-8098-20295-11569-8265-8265,24953-1520-9018-11412-11853-5385-18029-18029,8407-1336-7026-6684-5547-2964-1965-1965,4567-685-3075-3385-4372-3569-2978-2978,easy,no
79781-7759-71658-136874-2423-144117-26783-1325207,28295-4954-81198-40776-14222-61941-24806-479224,1522-8859-17596-20824-6180-718-9089-300242,1824-22505-22188-45601-6853-9148-4820-49190,2667-4925-18192-6702-6422-7903-2919-118997,3851-15426-10731-12272-10398-6854-8278-204099,1640-5500-3945-6746-5088-1132-2718-101349,860-6596-4751-5609-4391-1723-1806-34683,easy,yes
299144-2041851-94441-30691-5485-5270-34946-8102,68271-81749-13317-31387-25832-29482-56690-19400,10004-12835-3280-587-35630-9767-15203-12999,15143-12589-4636-6627-36781-22205-7899-51270,6091-70934-13319-6201-11970-16445-15688-12209,8096-53948-9292-5474-20788-10716-27925-17099,7355-31615-12574-9034-9267-9816-5672-3740,3870-15607-3222-2144-5602-3661-13539-4946,easy,yes
128342-5106-83091-7764-2252-45022-1594-37582,45685-69079-35597-4792-6487-21012-5334-17862,5140-10922-11248-2255-22619-1533-255-16577,2911-21364-2113-4069-7521-1596-3808-10694,8365-21560-2580-4471-16174-3238-3828-8323,3848-11359-4950-3564-11451-4252-1815-15442,2469-6334-3547-1004-2368-1349-1470-14336,1273-6197-1442-1861-4421-2421-1384-2303,difficult,no
363663-719440-3226-79383-20738-8189-33338-50237,20245-138453-29444-7047-23607-34552-18737-15998,4069-133486-3880-2686-15876-18740-764-31727,40119-22313-2394-4065-13304-30731-5685-4598,21298-31902-6603-4175-26910-17630-5828-17056,15874-20097-16053-2319-18153-17620-5000-16082,7944-10269-9045-3609-9556-7788-942-10987,4811-5518-4239-906-5623-6426-2109-7718,easy,yes
305570-10191-44240-796069-22545-50776-5711-85533,165015-16613-7921-11368-40502-63041-12483-6925,24251-3845-3216-13979-3899-9655-29932-2754,16054-9087-3850-3375-14460-9243-28944-4116,29693-4042-5527-21931-28295-5986-14308-2958,13154-4233-5656-8538-19824-15758-16769-2187,6679-1715-2203-6082-8304-3668-10952-2510,4291-951-2355-3699-14523-8730-4197-1340,easy,yes
94016-32563-26960-3066-3379-67129-4730-73258,386905-46054-8252-17288-23611-26780-18369-17700,139140-9432-13078-10651-10685-13943-1445-6609,106403-4891-5518-15440-35473-6481-1245-1812,140411-5837-3565-49075-11834-30407-5544-3712,94422-9458-7273-27766-16110-9591-11755-2887,39809-5206-6078-3094-15660-5766-5805-2199,11393-3944-1295-9314-6679-5190-10393-2672,easy,no
158954-104409-9904-47988-11439-3182-105823-33105,16666-59584-21193-10090-2592-15434-67137-22952,6318-3054-24717-2799-15643-23684-8233-9350,5662-23014-16638-11995-10086-17471-7617-5676,2103-17378-14966-3506-21537-34381-12477-7430,2601-14754-26500-3454-20158-14011-11146-9000,1543-13249-9888-1613-9468-7217-10656-7093,1762-2252-7219-2765-10918-3422-10422-5004,difficult,no
105487-7624-56373-4535-82637-151779-27598-6365,13143-6625-36503-27406-33249-11384-38892-11523,1831-12169-6828-1368-8459-5178-3827-1970,2764-17817-483-12506-4357-2929-8012-4582,2729-17424-3657-8353-4856-5392-22581-4692,4295-25847-7557-26540-3719-3985-18934-5420,2569-7128-2410-6488-2627-3217-11189-2913,2829-3607-2320-4436-751-959-13957-1411,difficult,yes
122577-15147-64898-84128-7396-6775-72555-21861,79528-24099-18879-17472-18511-31284-26476-67640,23763-29377-8041-6379-3016-8691-46586-49676,38094-18227-6359-1911-2489-13550-6720-23427,4994-37195-39852-2716-7004-19464-15098-32995,14376-33931-15056-5546-8692-15198-35889-28829,8654-14675-4213-926-3360-5590-7252-13674,4700-4380-7562-1417-5667-4643-4724-3763,easy,yes
8737-180158-53205-5455-109344-30078-48656-5417,9852-40777-10479-20202-11035-19675-20492-37006,20801-19340-5065-15593-2198-18618-4918-5273,18714-14719-10770-10156-2529-38110-6284-8948,36391-10194-5098-9194-2748-18298-2780-9091,13975-4253-1563-5063-4008-13072-3176-14597,4025-1180-815-12863-1409-5317-1005-3436,3595-929-1727-6501-584-6596-726-5267,difficult,yes
9226-1019249-22695-59563-3757-60369-13854-3080,10960-175504-10921-45960-16199-23791-9487-25366,22388-12249-1387-11177-5211-12891-19139-5078,18964-16749-6669-3365-2475-2678-3854-2573,10794-15561-12373-2986-48807-35373-19230-6846,26337-16566-15111-5256-13335-14480-7577-13142,4535-2339-4230-1183-3973-5738-6118-3715,2212-3976-2490-588-4194-6335-8330-4078,easy,no
18068-110538-587282-5553-57287-62100-9504-533553,56825-115723-12955-38763-15113-25430-35982-81024,7612-22166-7917-11549-2914-10073-27314-15138,18221-13994-2213-5052-2626-11553-31685-9967,14145-15996-8148-20271-4913-7675-2886-17085,11322-15456-3852-19222-2926-7820-14501-18051,7248-5618-999-5033-1166-10618-6509-6854,2428-4499-918-6040-751-4004-2999-2872,easy,no
