delta,theta,lowalpha,highalpha,lowbeta,highbeta,lowgamma,midgamma,state,answer
82200-405410-13350-82842-40265-18710-94601-14432,32541-70836-16361-38869-12637-20401-20968-8560,26518-15604-18756-13089-28478-48116-77083-13243,21493-17183-10770-18561-7131-6467-7677-2058,18935-13489-18110-16653-26731-8049-6153-16735,36264-23240-66077-23045-56621-30351-27538-35139,28559-15675-6043-8673-8377-8275-15304-12699,12485-15766-23783-20641-6846-6464-12629-18596,11130-12532-31237-7717-1085369-168294-1182223-8842,16403-30853-29042-16912-127192-75654-138172-4564,8967-4766-1313-15315-29989-27258-31041-3459,1192-4650-2277-8354-23060-20445-25745-4019,8676-14366-13392-12216-30994-30888-12470-3120,16952-54065-9150-18394-51859-27314-44998-7745,8334-10330-9180-15362-47292-14816-18240-1395,5714-7059-9799-5804-17062-5897-25152-2677,19639-12029-11773-462945-26752-73461-829676-1747358,17043-8919-10478-17932-13938-14464-148623-112073,21814-3612-6112-19356-27962-5881-1141-66821,5562-1550-1915-14672-7059-16100-7904-53439,13319-5397-7042-10175-17581-8131-14004-41789,25656-8003-10332-24364-26822-6563-21872-18448,9057-5230-8007-9570-13783-4473-19455-16468,15331-2482-4673-21510-9730-6501-13783-7678,difficult,yes
53368-8145-1972148-289784-11023-5668-1279444-13926,3201-24180-153695-210487-19392-11553-162070-14144,1179-9215-152597-7163-5508-10612-16537-16305,4158-16299-47815-2505-9008-6833-10983-7849,944-11123-27703-43395-17126-8139-10615-7209,1405-61467-41122-27185-44165-22893-37321-27982,3462-17906-37157-10260-16432-12259-23485-15353,1484-23719-11746-14256-9923-8297-9326-9366,easy,yes
962573-202026-5206-72149-34535-5216-93603-82339,64382-14640-4246-37653-39517-20395-80109-42214,33606-4809-1464-9009-2040-40690-9859-4399,15150-7442-954-4226-19284-2443-10731-5441,21450-4317-3745-6643-11027-12579-3534-5332,5722-13933-8034-6151-50744-18051-6382-3406,7228-4305-4773-7652-15091-11646-3552-12643,6896-6411-2474-3560-7149-11416-3310-3507,easy,no
133259-28992-103577-21599-2175-4911-182080-414660,125881-48574-22285-17224-10475-19466-62409-35467,14964-7628-1759-57904-2153-22271-4029-665,2221-525-4910-26186-6528-36850-28900-10799,12430-3538-9292-19174-6480-41435-21629-11111,12990-12712-6135-12979-3910-17621-28705-19864,7998-6023-13262-12877-1955-10790-14260-8452,2703-2018-1531-8865-2876-17481-8358-11795,easy,yes
382714-361024-33132-1648058-92254-56144-23198-587526,122680-305407-15228-19855-144780-14932-39203-406914,38430-209494-11220-10848-40871-14094-17166-42449,35578-62292-8992-28155-22284-7487-34062-22910,14486-22330-6878-30424-10016-7006-24920-23625,57140-30636-8271-31993-24895-19762-20937-28521,30182-44523-4965-8141-10025-14546-18002-17250,48423-39774-3751-9494-8186-16416-6750-20720,easy,yes
45660-1341769-4091-29596-1446-790998-6531-8514,40539-137677-2746-8237-5306-134578-4767-15213,36137-18924-2240-29038-1586-11399-2188-9067,11898-18561-1022-9208-2464-10476-2107-9916,18020-9387-3664-15139-2445-18243-5198-6546,58264-11367-8260-41502-9267-17483-6914-37900,74791-6826-7706-18750-3712-25458-4376-13369,24371-8610-6687-18078-6326-7043-4182-10064,difficult,yes
427922-29468-151442-21179-12601-15809-20393-16996,49700-36278-26725-23949-5650-3516-9524-14730,3471-10528-8941-11808-17557-6115-11521-32737,9422-5225-24322-12513-7225-4402-8848-9352,16293-4419-14899-45873-10469-6344-26696-25878,24260-9716-39949-33325-34013-19837-33026-41068,31676-5991-22638-21424-25794-7595-12623-24403,11886-2092-35220-9044-9876-12408-6091-13634,easy,yes
40056-375858-707202-423162-111804-2139-2952-75377,29676-88951-91585-34042-25532-3464-14048-54368,5735-43542-4014-6380-7377-5527-4189-4188,9375-19025-8194-1892-12971-792-13348-10960,29966-8522-11987-4130-33988-5197-11221-4749,61521-14151-19056-33155-33553-7496-10883-5280,19537-19082-5760-2673-10534-3548-6492-5144,23645-3359-8079-3492-18598-2341-5042-3630,difficult,yes
19555-1160249-1078971-29454-56860-11808-221314-51397,12540-59825-223269-25878-77149-2302-18926-19706,3290-10247-29098-4608-31422-1447-6252-14631,4703-4663-5634-4766-4907-1863-8360-1323,16417-1596-4035-15257-11241-2246-6315-11450,20460-44571-70811-34819-29358-5669-22321-29950,15425-21065-47660-30104-8675-2131-7700-7353,9135-13349-20031-8487-12845-1707-5004-4119,difficult,yes
5055-39343-112901-477791-56708-8529-29114-9527,8462-15822-20390-55152-142596-22816-15289-9158,8050-5977-9568-2924-28075-4843-7884-48529,3453-3528-13301-13595-4769-13503-5347-12598,5101-5185-19962-7696-5794-16735-6696-3377,18031-6795-16027-28744-18645-16168-11278-16907,30047-5225-20490-12700-16924-18108-11237-9725,14790-1478-14568-8822-8453-13095-9343-9838,difficult,no
7521-365370-9493-2346-7668-13273-160218-95693,22889-20959-47272-35178-22119-14775-89443-37599,10928-14064-9965-72854-56329-19129-5739-4946,5846-6505-58184-44418-40821-9688-9159-4255,11517-8670-19001-27843-23563-8731-9074-4526,26358-3961-40909-13608-21051-30493-6188-10883,12091-8664-14537-9261-12001-7100-7038-8274,5651-3063-7718-15723-7624-6019-2684-6421,easy,yes
1547000-147055-580169-72504-8213-74191-156172-721384,92290-148866-29166-15505-6867-20927-44168-76988,2522-106618-7371-15893-6285-8694-3256-47212,31376-16810-1437-68622-9591-52666-26736-10200,9306-32464-5011-19800-6241-25933-13494-9398,20775-106244-5412-14043-5707-41493-37406-53333,11818-29859-1530-23692-3309-14069-16036-30483,7064-15547-1526-7283-4822-7671-5983-15847,easy,yes
14240-100494-34650-65125-17356-2570-495227-67824,17571-19313-15849-22914-13727-3524-36483-93055,21324-29665-25396-15683-10588-1499-13190-16496,7540-43569-19639-52604-52397-5899-40079-36472,24790-18191-21827-5048-26147-3617-20769-33501,17510-78958-23132-47905-26467-5550-14741-19760,17566-7661-11470-5303-7144-2423-2698-5925,9652-7802-8936-10835-6177-1550-7976-4465,difficult,yes
7545-25563-74615-5627-2977-4064-16432-20546,5242-11659-14549-7131-38316-7054-34884-12930,179-31546-24620-15278-7262-9496-47909-456,1820-12442-8319-20103-131618-15682-60375-2569,1927-6221-25948-18273-19286-12167-14494-2740,8974-43139-17583-17192-36240-17069-20433-3980,2917-15085-7899-15974-10603-7082-5506-2336,4290-7557-6393-11140-7284-9620-6643-1725,difficult,no
91258-698874-38875-56222-23013-14934-10481-68124,17044-89637-12080-21083-10308-35725-4541-25045,2898-15634-3069-47834-23098-30929-56397-33579,4583-5097-1053-72077-22234-53970-37827-17172,2704-5799-6002-19348-35811-31883-39503-16379,6440-7159-5202-47147-16533-25116-21078-23351,6153-4876-6109-11589-4233-11202-8044-6686,3153-2103-596-12952-4858-10282-5678-14847,easy,yes
552158-65496-349217-5891-136423-81753-8610-4178,452135-15079-28350-22903-57927-20211-15733-6273,68081-9732-11323-9206-4112-3618-9052-8168,62997-2467-9148-24740-9020-2932-10581-4266,44447-3880-2034-11087-26024-5818-10815-11374,64069-7001-35472-83304-25942-4451-23838-20714,20442-13972-4243-13785-15030-5841-16997-12637,22814-7953-4000-11736-11431-4508-8024-10934,difficult,no
4336-635213-426657-1035752-195374-467110-92150-14104,7749-269162-114473-173945-23930-39140-8986-59865,897-71519-16025-34137-23180-23578-6188-10947,1640-16632-14351-4819-22826-36593-1224-12054,620-26039-22822-6703-18660-15473-20068-19458,3554-43971-62291-50133-26016-12362-16947-7948,2220-28448-19449-10998-16789-12564-9896-8389,2964-19726-5819-7760-6156-7039-7853-9845,difficult,yes
26809-136737-130845-7750-64760-3853-558190-20812,17766-43839-108117-21300-114889-4259-30925-34039,4759-2386-20621-20359-25426-3173-23867-4720,7357-4549-2925-17066-14929-7531-12298-8245,2118-4763-21332-26330-11598-6440-9552-10605,12494-4819-10487-30360-11046-8475-16180-19901,5287-6945-24777-8473-8257-7942-8655-15711,2331-3409-9262-14597-4751-7750-7798-13167,easy,yes
8374-964874-18556-14749-1992745-13407-85504-7982,25266-61029-5332-14072-160860-30375-15476-25413,805-46927-29210-1342-4660-7452-3242-3460,6796-30197-30877-3482-22704-4376-2987-2519,10610-32459-12898-9274-21686-7940-1576-22816,23995-17607-32884-4198-24094-37471-4293-40875,28397-14621-6152-3974-23523-9480-4263-9086,8717-4326-1970-1594-9888-12434-2595-11302,easy,yes
90109-100000-10785-9564-32122-2352-10861-1177,64895-20174-8712-10427-41867-1489-15965-11821,12789-10173-10495-3337-14052-5840-2920-2405,29942-3241-13201-16569-7957-3154-10979-13985,6097-5353-13389-3796-37333-2179-15115-4826,20007-23998-16891-25490-60588-4344-16879-18122,10082-23031-33970-16138-10265-4232-10490-4456,7346-16473-10262-16396-10210-1131-9640-3689,easy,yes
142139-927743-2811-1806002-18663-5052-77928-98042,23736-231685-26983-13502-11367-34655-12944-10603,8348-88644-7465-9533-4310-9700-3259-2029,8143-36838-1128-4854-18293-14040-9779-4104,7460-24733-14438-26801-7618-39900-5744-1713,19524-22927-77343-66812-44603-32219-5756-5675,9466-9637-25746-13653-24972-13903-3900-2554,11753-21633-18003-16234-10939-11638-2390-1697,difficult,yes
1733885-10977-1968396-23516-23820-11056-5173-812940,97969-10455-10682-11619-10925-9661-7514-55881,11161-4709-11956-499-2974-7248-1788-6033,11155-4871-29065-3307-6937-16545-7572-18750,10605-2116-18336-3559-12695-8846-6044-20553,15510-6999-43406-5681-19396-17403-26059-30495,8627-1726-8912-2629-5255-17518-8155-2931,4352-2390-11504-2017-20838-5402-2984-9290,easy,no
486854-4750-4426-3875-52906-9821-67477-124880,42151-20970-17294-5218-100243-10759-63607-13050,10315-1561-1820-8792-9377-734-4510-4049,23035-5156-6052-9214-8073-3322-5267-2907,13795-7322-4610-6071-12027-7998-7321-2146,23649-26661-28327-26848-16103-16152-7491-15455,16547-10462-31194-5799-9155-11696-4470-3644,7903-10352-9407-16885-9369-7357-3743-7919,easy,yes
155465-43686-557468-14936-77996-11688-394775-163787,22996-11106-33770-15312-25197-17411-32419-31701,12038-3467-13664-5514-9334-2793-5259-31081,11205-3655-22312-22659-23045-18393-21799-15488,21926-2141-9423-8521-12980-11879-19523-16477,22145-13114-35052-39088-15704-25167-28665-30241,23132-3234-19490-7931-7552-10587-5161-8980,4367-5151-18185-13792-4353-8715-3689-6224,difficult,yes
1629-592496-681145-14777-22824-9118-16350-3444,15515-68065-157991-17080-78962-5306-8527-15009,10244-27745-23192-14813-20310-11527-8133-3833,3107-4700-2128-13908-15242-4399-32875-9901,4928-16949-22989-14264-11180-10184-16567-6609,3533-52032-43238-49535-20994-32228-18183-17900,1808-63599-31865-37001-16915-10637-12624-4353,2179-11017-9547-14552-14156-11881-7479-10640,difficult,yes
75315-136788-91941-8106-145227-15490-61709-601314,18417-67924-7498-21599-84739-23323-18411-38353,3733-39856-1176-13928-5642-6012-5280-28924,1215-5867-6469-33706-4696-13962-16287-29958,3966-13615-3625-11328-32184-4428-2034-8117,8226-19292-9095-34057-25691-11114-13814-35636,5628-27434-6568-20824-9633-9222-13421-33629,2507-20924-7677-15638-3810-9262-8310-10274,easy,yes
92575-3081182-4348-52063-277886-14764-5703-167181,104654-671321-1335-6053-25706-4024-10920-10517,8409-101386-4617-5675-40186-1323-8262-1446,33626-34062-6275-4891-7745-5056-16688-1355,8648-52767-2279-17609-12922-2399-12538-1381,19336-41639-4902-35035-20561-8228-6976-5350,21272-41519-3842-17073-7756-2344-11227-2404,20083-43646-11647-5934-9602-906-5024-2521,easy,no
16723-221801-1567627-10143-53364-13605-39573-3514,40025-95958-19119-24077-46616-28818-18893-6026,22923-3031-12507-18027-20012-8483-1898-7311,25129-3507-29365-6122-18001-22617-1373-3613,10337-4352-6686-11436-19853-14369-3142-10247,42667-10574-39813-30060-21820-31725-3447-13710,18889-3320-29404-17518-12822-11522-2871-11244,17906-2904-12105-9754-8404-9015-2405-4491,easy,yes
