delta,theta,lowalpha,highalpha,lowbeta,highbeta,lowgamma,midgamma,state,answer
66340-436521-154370-187099-15438-15336-511224-109653,13624-10704-23042-36379-10453-9850-110095-37039,3727-7937-14472-70033-3746-6308-5488-3308,5374-11214-15787-33093-7182-4620-7817-4169,3438-8628-34462-26599-15363-5075-14707-1216,11308-19846-29808-64030-28778-36527-74028-2668,10368-10485-30089-18279-17754-42619-37049-1061,5860-8433-16140-20905-4436-11544-17459-1518,easy,yes
1250086-559049-372969-1513065-20192-93971-12226-1252375,61757-78488-35227-235633-2568-55282-22307-18644,4253-30021-2697-14525-8098-18422-19591-3425,8624-16069-40239-52563-2017-4502-18692-3425,13842-8633-4835-30000-4894-6782-7125-4775,25189-48731-17862-62647-10810-4479-14120-3941,24698-15765-13657-21457-3085-2491-17368-2388,23727-7335-13200-21477-2174-1964-4241-2245,easy,yes
265402-127828-757286-9666-79877-31960-217125-13440,37578-100390-18660-9109-18330-14667-49522-3412,13232-6141-8230-2579-2864-4735-5698-2436,4881-1688-21496-4514-11733-22851-1424-1429,12286-2751-2952-1562-4204-21802-3194-3010,10067-6589-13559-6260-2009-36387-2869-2321,3581-2253-3342-2378-2982-12012-1246-1759,1959-2548-1913-1199-1437-4602-1859-1543,easy,no
5400-50613-22130-19293-161404-14404-36451-1627207,11292-7091-5728-7223-220438-36435-42747-186910,4600-9265-2842-2241-12030-15843-14300-16967,4430-1838-748-2761-36001-16503-28654-22177,3555-1830-4612-5780-27392-9190-3391-16703,6915-1517-2898-20126-17011-23939-7572-10841,14355-308-1280-6057-13055-33346-11012-14629,4954-236-1983-3965-9793-11543-8025-6474,difficult,no
2034580-437863-145747-919639-1672108-554813-2363307-121704,69912-208192-61559-550000-278831-24204-522082-28820,28503-52007-59092-29407-109480-3643-99678-6730,51693-20711-49505-110635-70963-2954-10188-1897,50597-8501-41858-24111-72072-2193-20772-1494,55722-18812-36614-15032-51237-4881-87374-12080,70810-8699-9079-35317-170511-2611-74293-6389,47438-8064-13787-35022-57331-1955-30401-2929,easy,yes
9148-71826-309900-463895-1402674-4598-11156-110338,10657-47228-193676-95454-40060-7842-10649-40885,10353-34077-28101-19300-22889-13170-12034-12027,5568-27357-24239-2000-5565-28377-8905-3320,7002-8201-5384-4248-17622-19813-9227-5938,18047-4412-12069-7681-9234-49873-37868-7592,9924-2816-6944-9336-7453-15080-9264-4377,4957-1528-1187-3263-5056-7607-10723-3353,easy,yes
2153795-507863-182111-902689-91849-3757-54206-5632,633954-236449-19505-73052-42470-2808-68040-1047,146991-22154-3629-10678-2751-4893-10334-638,274042-8644-4420-10027-3025-1841-6767-3213,43836-32449-1327-8313-6420-14559-6659-1407,55602-14515-9110-10875-36581-40305-14119-8824,91725-6687-9166-6002-6783-16967-3996-4593,70522-11624-4619-5108-3225-10794-3368-3121,difficult,yes
472036-301908-95735-518526-685063-48991-2238693-564994,87042-22352-13734-298102-204498-66655-175102-46875,19937-5566-9422-85862-70517-13117-33972-7039,16548-14351-44057-41175-18701-3074-27368-9893,35945-4552-5100-42578-42504-13638-23434-1222,28539-15009-9078-15860-18458-6749-9568-8201,26562-6357-4783-42233-17597-3778-3001-4035,18389-3709-3767-21156-7419-3249-8190-1026,easy,yes
10433-1913263-705410-167830-3688-29805-101603-18330,8838-85377-400928-21854-5763-10036-11357-10461,6666-40923-150335-24013-5782-1964-508-4341,5710-11915-19564-4835-4267-7928-1389-9830,7893-5451-25940-10041-11615-22769-1349-4337,10731-8365-92199-10800-61954-30479-1051-4735,3366-15958-20140-6061-7173-19775-643-3962,7477-6551-40879-5855-22478-8255-720-4190,difficult,no
1173506-3043-1085258-363029-620139-7344-876579-196819,75926-18191-209186-46741-353488-5140-64773-76587,20019-4828-66121-8067-20886-1302-16717-10853,4836-5544-26589-17883-16731-2939-7098-14143,8816-10635-67804-22789-18062-4713-8548-3250,35507-39202-72553-47293-32331-4895-6826-7215,7887-30286-100252-14589-30187-5195-4032-2760,7538-17992-24352-34307-25672-3614-1588-1831,easy,yes
