delta,theta,lowalpha,highalpha,lowbeta,highbeta,lowgamma,midgamma,state,answer
2092036-773845-1715654-861070-96350-121385-162176-359418,675259-209018-344165-263645-19104-9500-21692-115413,109821-72604-115878-59443-1320-772-12677-39640,121667-46523-27215-10196-4156-3976-11028-29569,45250-20923-57836-27765-1816-1169-9688-25669,57603-10670-143677-10259-5877-3821-30756-31436,92221-22369-120029-17909-4531-3041-7078-79607,46529-12358-57132-11452-2865-1141-6463-41389,easy,yes
287231-1115741-333301-69714-1053726-1393453-1063267-1105868,79828-529329-30611-70962-955519-2208351-89307-54522,21309-47908-48867-2940-279031-38167-126049-10226,494-32732-34435-8051-106493-33888-9578-20789,8331-13294-1612-10843-71702-95490-14632-10256,5892-50076-16616-5891-67625-135438-28551-33785,21560-37248-36456-7242-86943-46617-37325-34614,5172-28131-18472-7998-58403-36738-17339-12229,easy,no
1628583-1148429-129364-1453224-254028-379859-112784-324602,249892-491248-181531-372095-27487-55457-9334-154916,217450-80772-12490-54477-5927-36061-2811-7452,15517-75643-2224-22423-6423-41099-2016-22029,84292-48712-7457-37515-5723-8529-2137-26430,138618-49524-12428-40921-9000-56960-1764-57188,49662-26240-10485-31735-18340-33422-4260-24789,23426-73865-6095-13932-11636-26777-1572-14367,easy,yes
1638130-1659151-604900-31739-2315814-13693-7159-5309,51509-168460-76793-7483-112729-12533-9430-12118,10937-11772-22926-8382-8530-41967-5775-11151,21318-82591-8703-7410-27526-23410-11010-5106,3015-50940-17952-24242-17807-10079-12551-10204,25134-38990-36901-45327-31177-54444-24936-48830,7648-39121-23443-30301-32368-28616-22003-10889,5461-36171-32607-14731-33693-8619-15244-12434,difficult,yes
1493807-848524-125540-85313-43953-654518-1345629-30422,170690-61306-33498-62354-52063-98764-42277-11715,39876-53804-3031-13342-17857-9848-13486-4412,36986-6824-2639-9450-11254-3372-4580-32698,20481-14296-9240-10388-15273-7108-10003-11693,15408-12889-21939-69874-27322-18865-25352-29053,6925-23483-6753-37698-17617-17653-16044-13348,8896-5843-9124-29649-18846-9925-37285-7788,easy,no
1937644-91971-1641077-411609-298023-426963-558633-365925,132552-56069-239330-72361-26757-74971-49239-293526,24680-13551-74393-31493-17634-14771-20004-46293,54766-4643-113850-11869-2706-24934-13816-49749,31241-15309-17023-8136-2185-6909-15641-5798,34866-6254-44810-19295-11424-7389-16236-25206,68612-10816-29363-12786-2866-7027-15545-14494,38066-4647-14406-8601-2357-1925-14183-13280,easy,yes
397974-82084-154913-1228947-1370399-78222-44868-421544,46825-5632-74494-776862-297034-94635-35533-279459,24602-99-48574-33994-23377-11128-12171-91616,14894-1717-23403-112723-12795-4815-334-53260,26452-486-24902-66301-30296-10739-5057-29291,87406-1725-14237-59878-53457-16902-8873-64819,25720-579-9199-102937-29343-10328-13418-29649,41194-286-5212-41302-43488-6911-7087-39292,easy,yes
1720884-1947963-491219-43473-652977-1102063-251571-66154,296513-279933-30932-13695-27617-169814-19137-21618,60213-120571-7121-6464-18337-85741-4755-2617,47808-145856-16504-3148-114417-37633-14540-5240,32576-51122-21246-2570-55140-115330-6648-5177,41022-56222-31032-2600-19711-32230-9165-11049,39869-19471-15876-1882-9104-32193-12739-5997,31283-29643-27873-763-5678-12993-2836-3426,difficult,no
1234749-51919-359027-367050-18009-53584-373558-21172,45135-12355-43319-222823-14806-118379-38777-57301,13776-10631-3387-1428-2826-10617-56300-33768,7021-3247-849-27262-5726-15291-25478-6821,29970-23950-3769-12633-2715-15444-20747-8788,25716-39469-7754-19191-1837-24269-14283-12328,26997-13624-3153-5949-4499-11596-9014-7267,36646-16207-2615-8033-1029-8425-5228-8080,difficult,yes
1955993-1136460-467786-1312118-330479-2714270-1047513-560561,49122-36332-313844-59324-37445-614922-236672-592700,5769-25574-7924-21373-21637-41998-102919-83223,24687-13637-13682-37307-14946-69761-161495-216302,18306-8897-17139-41979-9294-137084-53880-30041,10857-14401-29837-8438-40363-84383-125060-195423,28878-28609-19588-151986-442042-405847-320541-371261,12929-9860-7931-46784-2407-123765-41447-71038,difficult,no
521833-310309-160430-771368-672382-632864-999272-96639,219662-26033-12947-209670-159990-132252-115006-42930,65374-11492-7170-28248-26778-10416-35744-14899,28216-5636-7413-10170-17366-15690-54928-3806,27857-4440-4863-9346-39339-29511-32277-20730,45354-9889-9687-28812-9957-21298-50463-3858,37132-3828-4172-10209-4400-16365-47081-3103,19169-3819-2047-7189-7395-5598-13700-2046,easy,yes
837357-80522-892127-868937-124491-595311-724004-918850,110513-4293-486554-86128-35143-37106-24196-33740,92972-1364-38673-39172-23014-9369-37147-25776,68707-3765-101212-48120-14904-14200-13262-11393,19645-9729-46821-22963-7118-4919-25939-11598,47104-2980-39946-16713-5304-7598-13618-12123,24312-1237-14373-6302-3382-2662-7926-7163,19374-620-13459-3485-3472-1403-8353-2791,difficult,yes
754631-856991-836382-1987676-364303-1188468-2294843-667427,44944-117747-24531-376898-10155-1450528-192174-466869,47539-5322-62617-77117-16521-97149-62027-65066,11959-2636-2202-55354-38971-118666-52413-16017,3765-9915-7613-23252-15137-202186-21304-77509,8778-13758-7597-35579-12540-36150-44084-73790,2171-25082-8866-32786-7430-28207-30394-32534,3899-6333-1464-10692-3920-9561-16467-21480,easy,yes
613212-90252-451001-160361-793124-395720-2809686-123382,380498-54966-51395-26366-252782-79415-266966-315431,44498-6786-94143-46302-27750-20577-62692-81020,6128-5914-31740-4627-48161-27813-53231-27450,14657-2492-17523-13113-64754-22715-49079-51072,36863-3369-13796-7846-23527-15450-47895-41893,40384-3979-8463-4564-24074-7359-97981-17740,15909-1443-2344-1378-21014-4225-44965-7312,easy,yes
430096-155500-817711-170813-256806-371631-619894-311684,124590-19885-166626-61512-138470-210754-367602-66127,12025-11199-135859-2335-12929-12382-71320-3080,27189-4109-87772-22430-32353-24206-88394-8204,10685-7065-60316-4357-9148-38944-64692-23062,44792-2552-77842-8603-38337-25059-101589-23398,15778-2388-84922-4811-26062-11041-23120-15123,5323-1860-56710-3161-11690-4853-14823-6360,difficult,yes
difficult,no
difficult,no
