delta,theta,lowalpha,highalpha,lowbeta,highbeta,lowgamma,midgamma,state,answer
600202-1051700-751328-580224-394756-278489-66435-329475,45641-101743-50688-40467-38570-28666-32250-246433,22941-14619-9646-14892-1957-16440-7493-6588,2478-15674-14497-2588-20579-13441-35816-5253,18071-18192-30369-22733-8204-11553-34633-28836,17756-33953-35134-17013-49021-8627-26619-31895,18504-38610-25569-27862-16353-11430-31725-35459,14019-7087-25866-22330-32767-2491-14781-24498,easy,yes
156628-2216024-93665-54686-80127-158408-19466-125054,49436-28049-19094-9461-14340-48300-12372-57059,5186-15884-5011-1941-2607-2649-7460-30090,7129-4372-5432-2139-1957-9322-5070-10805,9765-11060-1012-1349-5241-3525-13293-8364,6484-5713-2198-19606-16159-13347-42158-26972,8475-12366-2300-1905-3398-1971-28120-14455,4696-2247-1406-4593-6740-8565-9262-8289,easy,no
74677-103951-17089-22292-42568-16205-24923-18916,39227-12006-19167-33341-6407-12247-5936-15997,6640-1389-7886-6990-4950-15602-5361-5155,2966-3787-1822-17792-6324-25160-7937-5828,7155-3178-18588-18545-9139-7145-56634-33913,9929-5736-11241-16574-31027-32437-12248-14282,3562-2524-11117-18964-38124-16608-15516-18842,3486-3222-7231-26490-5842-12604-10446-13571,difficult,no
6410-138047-128851-38334-486087-871950-1618989-66757,6124-55519-31037-13943-316251-90583-136747-31804,8462-8710-1548-8470-124095-1863-98648-8243,5516-4209-1353-868-121129-1476-53134-6734,13788-5747-691-6356-30410-4698-27720-7531,26540-9397-2701-8573-76530-11901-16759-10266,19003-10614-1902-8060-54190-4606-18560-3063,14299-3276-592-3375-26585-3034-9596-3029,difficult,no
1136489-139174-226274-222596-169657-1193146-259143-19144,299111-73774-23121-6208-61192-30936-12231-8824,62375-64871-8057-9944-9351-13602-23069-3019,8238-46177-3999-7154-8914-12621-10786-3952,37615-18471-8617-4165-22326-10433-10028-25505,20053-126717-15598-21510-35097-15282-22954-20877,26054-48199-13433-5675-69706-15142-11385-24038,14240-20180-14173-3652-18758-7855-34946-20065,easy,no
125170-919865-65585-18830-295260-72967-166932-360918,46527-317534-107241-6479-394692-15335-93595-29408,3885-22822-3250-14236-1807-3070-4744-6794,3773-41162-9259-10474-21385-5176-6782-2593,4079-20444-3859-9090-26235-3085-11625-2758,9430-33749-7471-29706-76753-19617-9156-9063,2627-25889-14246-58891-18336-4455-3940-11402,12408-11913-6525-11381-11587-2208-4296-1799,difficult,yes
1343246-790379-1578526-1587894-747539-544638-832236-1552633,453906-81183-39334-202158-98223-58889-129075-255435,76103-8528-5475-389250-36847-18052-1942-52463,22763-6865-29469-96349-41730-3464-8836-13455,19899-4631-27949-59500-88762-12020-16611-23967,42423-13711-46787-92660-37508-30595-101288-54999,15019-6091-12407-60344-26748-13335-20483-50782,15184-7655-11236-31780-12519-2955-18619-36033,easy,yes
42879-58168-103442-402682-573872-563809-122886-45177,17511-36230-16794-156501-114641-9143-38987-8035,6910-1729-978-43810-8709-5329-3884-5933,2475-176-1595-56309-12886-1895-2501-15070,1946-2429-5367-21926-29659-4125-9908-18691,1480-6136-8128-48409-31918-4466-15988-26897,7318-1812-5377-20179-28461-10549-10596-28440,2013-1885-10061-16739-14309-3879-3008-14912,easy,yes
144573-83825-904012-757-103663-2703380-179147-687859,110608-117914-69523-6733-17503-98080-17309-12062,11619-8209-9861-7376-2284-21602-3787-23474,2668-2439-13296-30005-24674-26392-3671-17092,16905-3007-5228-14552-14149-10761-2802-9602,7430-1746-20353-76679-50007-87435-14208-24914,10155-2468-12680-44682-47686-12178-3736-37665,4621-1986-5132-15109-13282-24315-1667-17897,easy,no
276272-1098776-647693-196215-2651381-18365-466760-817875,15049-20187-81357-127221-57652-18468-44240-59703,4712-1077-2142-45619-75302-10010-8482-13095,2894-5486-20341-12777-20171-11297-18687-21005,899-5715-16994-16666-22293-10005-53996-38110,3378-6264-78614-38203-59450-43050-40509-15439,5213-4708-16016-35138-16592-44407-16557-17576,2707-6740-18977-35225-21973-23938-37186-30766,difficult,yes
148805-682159-1622438-926317-22601-129848-10272-8778,259391-136025-39679-260071-4013-7973-4388-5917,6898-14561-109000-4143-1334-3738-3965-11718,18565-14618-14156-48711-25489-1767-14377-53145,101390-21801-53065-23776-21183-2043-6628-29119,55797-59209-97002-58565-21361-2433-28662-33651,15791-70921-61507-12867-33571-1090-15631-17677,23201-5266-18147-12182-15720-705-9258-14054,easy,no
567606-76518-311762-917135-330711-551666-827133-114826,14457-44365-158310-387647-170758-71931-57906-8385,3049-6820-9190-57148-27838-19785-11632-515,1874-14424-7736-25120-24694-45877-6196-471,3746-7933-8718-22799-23107-41905-55485-811,10211-71069-28862-22993-54040-51719-30117-2215,8263-14834-38630-28566-15485-23743-21208-1809,4199-18263-30548-16423-33955-17604-13035-1516,difficult,no
