delta,theta,lowalpha,highalpha,lowbeta,highbeta,lowgamma,midgamma,state,answer
425515-1515630-1179723-814639-840334-2134429-1233995-827030,184175-441302-227095-37481-79599-35589-38226-85945,54475-120077-72441-3950-33615-9372-43053-37624,16278-73495-9477-18997-4255-20125-4259-44633,15706-32483-35416-7237-34240-8999-4570-16122,13592-37829-29195-19938-24731-12258-18183-12031,15649-73924-10749-7018-6089-10017-6832-12884,6859-31694-27444-7944-7133-3545-1726-10667,easy,yes
2036993-248831-226390-1090272-66559-1753887-1041615-461961,489057-42391-23275-285617-5209-692720-112861-167157,125720-2024-2267-32651-10440-211461-24685-38633,26514-9548-1958-78466-6540-248239-53960-2417,57449-3063-3413-66814-2707-112166-13535-38249,97916-5196-5397-70019-1683-145855-22836-32729,74334-1632-1853-33395-1593-158432-20120-9730,35951-1666-785-33065-1665-109414-6574-13364,easy,yes
1072693-94316-689018-102777-2944905-2441989-921828-423544,108547-86563-230202-7828-944414-398473-101166-261169,26750-26690-37646-2955-70275-144747-177-183719,24688-14763-42530-4204-90208-71487-32790-29948,17750-9726-27905-5192-49701-13964-19465-91350,16870-9753-22114-1414-152433-67310-10657-120003,6266-5206-12381-1127-31789-38961-5737-71744,7031-3320-4540-1582-37929-13840-2383-32085,difficult,yes
192630-1493460-968138-942952-2041272-174034-125063-854056,268944-219786-168263-191835-1710285-13222-7389-101950,97845-53757-12985-5893-256922-3162-8264-10139,58017-128900-25931-18567-75614-3229-1023-35372,12600-23584-9332-62703-115589-893-1602-19823,31815-17559-13901-26805-106008-788-2648-25585,32869-13824-3884-29430-77811-1023-8887-10805,13208-8430-7871-18779-36270-349-2281-5208,easy,no
710523-535862-447770-791488-604391-1415431-90056-415556,147671-39315-63804-105283-89702-63693-36238-21947,77064-8647-78438-8600-21234-59637-40576-7489,27490-4934-7139-80923-17597-27761-17038-6057,9050-2364-15545-8317-18681-23130-8535-3475,12812-5196-32311-22274-25505-18970-6763-2695,11163-4642-10157-15729-19992-18727-3910-4009,10214-1492-9041-6829-12570-23052-3413-2002,easy,no
2460625-1467484-326523-606563-869834-646587-219261-212392,2303687-169059-58116-408638-55736-64644-37877-118446,109453-9970-79843-35345-68100-5211-9910-44283,173424-17378-23070-8569-25665-8626-2898-11010,142202-8868-9483-22956-9506-16126-3033-4649,156464-24148-9242-61393-14733-12767-5481-17935,96297-10515-19930-33495-21611-10676-4075-7379,75912-9075-6056-21735-6528-8853-1847-11037,difficult,yes
23698-24127-15301-2113596-273592-1260468-564223-609067,18829-15384-33893-276929-68159-46339-65690-15216,6790-5020-13648-80121-9555-7851-32450-16463,10630-5932-4499-26727-5169-6268-50363-3636,10044-8747-3749-24615-5622-1279-25622-15117,12651-6781-6534-42549-9719-10731-26034-6373,7397-9622-8142-35957-5126-10688-23286-4637,2633-5491-6493-23690-5377-13953-12140-11018,easy,no
156550-253095-727733-667087-2930439-560825-790474-2094577,107409-40693-6263-174341-485331-166621-99577-211414,23840-11104-6911-41122-34886-16194-6419-85967,5807-5374-10277-9060-30285-12213-3500-23955,3610-1622-3310-10847-24429-19956-5938-31515,9975-3599-3104-16181-19340-8421-2396-34591,8053-5356-3684-21996-11838-24116-3650-32711,5135-1973-2929-13062-10062-10300-2851-27463,difficult,no
1337303-833541-267250-154223-81663-25590-821070-418888,216070-283802-17638-18115-23719-44469-86726-116238,75977-120834-2433-6208-18875-3855-34747-37280,46252-84984-1541-24537-11647-11013-75871-13243,12671-53567-8210-14380-9038-10425-14454-10663,16817-50941-3174-27532-11454-7670-16275-10319,11671-36331-2477-15908-5352-3305-12690-8582,16695-65286-2260-15192-9921-4333-36540-13041,difficult,yes
296765-615242-542560-1230421-1354421-168328-405373-31768,43267-153484-151393-82333-357239-196856-170797-39227,27247-4346-34810-30676-103343-1106-11296-1702,8717-16783-31911-9132-57148-3449-23207-16345,7902-10300-13429-13352-44157-7696-19526-6855,9487-13053-15865-15470-45816-7520-20452-15086,14362-19366-34233-10498-91697-3938-24335-6980,5730-9617-14626-13189-22988-19692-17956-6151,difficult,yes
958922-724951-1408102-794600-263814-2003769-23209-83057,81343-155551-178426-37104-16766-174709-20457-50056,57401-53101-70583-6965-6605-8181-4941-35771,10805-55095-86336-13475-377-16261-18199-5100,22027-23553-55763-3674-3376-23961-13579-7406,16546-68883-40875-6794-3332-9393-11726-11072,12414-38930-37008-4939-9743-11343-18798-8201,8349-45929-51228-5089-2887-23957-16003-4489,difficult,no
1554652-1573047-604978-444441-1466451-1556448-154977-653866,1722136-118278-76418-86994-334180-217855-126163-85641,118784-46908-11082-46768-58177-85286-3138-13742,74830-59374-14818-23998-15636-69607-25587-7661,35080-174128-16943-15283-44197-38718-9868-6537,62589-282096-11824-27223-66634-27277-7103-12851,41609-99136-9725-11977-49554-12661-15984-4638,29582-181943-3929-20425-19736-25882-7648-3213,difficult,no
854482-212691-96350-751778-102574-20548-7665-740091,61362-190803-36065-41939-32254-26754-20422-517073,155999-15541-17421-32001-5440-20257-14182-88266,107081-4139-11882-9062-13741-12919-20060-40954,28683-28847-14948-19965-38560-11830-8841-17081,62328-9417-12227-12302-26966-17630-10312-33430,39391-4458-9987-11862-21300-8597-16758-41193,33899-6720-2438-4564-13695-5741-12873-34778,difficult,yes
2497907-115201-638744-2004101-1680933-530419-137068-364558,152307-98046-83436-494218-670837-183003-31133-159601,5609-13947-21863-24780-56668-57442-5154-23579,9892-6930-52113-21050-66789-45219-5169-6705,8892-27316-9866-18474-24728-7158-7077-9593,17601-5955-7560-58239-41719-43095-11503-13619,4964-15763-16154-53191-49858-18154-11827-10298,8512-7837-11084-59734-59719-16422-4162-8165,difficult,no
1576253-1191596-893815-381478-733854-183359-109119-837574,164176-113779-31225-72290-23287-16722-13013-231384,30446-21665-5656-11912-17541-12530-9385-29234,39978-12683-2783-14737-11919-1192-9496-4900,29156-13763-18652-17974-11523-3909-1855-10316,27922-6995-18446-8254-9770-3275-6728-12268,7948-20883-5915-15436-5899-6039-10785-8803,8997-16081-8268-7930-4829-929-1813-19987,easy,yes
